moduleCode,title,semesters,moduleCredit,prereqTree
ABM5001,Leadership in Biomedicine,3,2,
ABM5002,Advanced Biostatistics for Research,2,2,
ABM5004,Capstone Project,"1,2",8,
ABM5101,Applied Immunology,2,4,
ABM5102,Vaccine development and its modern applications,2,4,
ABM5105,Drugs used in Infectious Diseases,1,4,
ABM5106,Anticancer Therapeutics,2,4,
ABM5107,"One World, One Health: Ecosystems, Animals and Us",1,4,
AC5001,Architectural History of Singapore,1,4,
AC5002,Conservation Approaches and Philosophies,"1,2",4,
AC5004,Architectural Heritage Management,2,4,
AC5007,Dissertation,"1,2",4,
AC5009,Design for Adaptive Reuse,1,8,
AC5010,Historic Buildings Survey and Recording,2,4,
AC5011,Conservation of C20th Buildings,1,4,
AC5012,Practical Building Conservation Skills,2,4,
AC5014,Internship,"1,2",4,
AC5015,Heritage Interpretation & Material Culture,1,4,
ACC1701,Accounting for Decision Makers,"1,2",4,
ACC1701X,Accounting for Decision Makers,"1,2",4,
ACC2706,Managerial Accounting,"1,2",4,"{'or': ['ACC1701:D', 'ACC1701X:D', 'EC2204:D']}"
ACC2707,Corporate Accounting & Reporting I,"1,2",4,"{'or': ['ACC1701:D', 'ACC1701X:D', 'EC2204:D']}"
ACC2708,Corporate Accounting & Reporting II,"1,2",4,ACC2707:D
ACC2709,Accounting Information Systems,"1,2",4,"{'or': ['ACC1701:D', 'ACC1701X:D', 'EC2204:D']}"
ACC3701,Assurance and Attestation,"1,2",4,ACC1701%:D
ACC3702,Corporate and Securities Law,"1,2",4,BSP1702%:D
ACC3703,Taxation,"1,2",4,"{'and': [{'or': ['ACC1701%:D', 'EC2204:D']}, {'or': ['BSP1702%:D', 'LC1005:D']}]}"
ACC3704,Advanced Corporate Accounting and Reporting,"1,2",4,"{'and': ['ACC2707:D', 'ACC2708:D']}"
ACC3705,Valuation,"1,2",4,FIN2704%:D
ACC3706,"Governance, Risk Management and Sustainability","1,2",4,"{'and': [{'or': ['ACC1701%:D', 'EC2204:D']}, 'BSP1702%:D']}"
ACC3707,Integrated Perspectives in Accounting and Business,"1,2",4,"{'and': [{'or': ['ACC1701%:D', 'EC2204:D']}, {'or': ['BSP1702%:D', 'LC1005:D']}, 'DAO1704%:D', 'MKT1705%:D', 'MNO1706%:D', 'BSP1707%:D', 'BSP2701%:D', 'FIN2704%:D', {'or': ['MNO2706%:D', 'ES1601:D', 'ES2002:D']}, 'DAO2702%:D', 'DAO2703%:D', 'ACC2706%:D', 'ACC2707%:D', 'ACC2708%:D', 'ACC2709%:D']}"
ACC4619,Advanced Independent Study in Accounting,1,4,
ACC4629,Advanced Independent Study in Accounting,1,2,
ACC4711,Advanced Taxation,"1,2",4,ACC3703%:D
ACC4712,Forensic Accounting,"1,2",4,ACC3701%:D
ACC4713,Banking Institutions:Managing Risks in a DigitalWorld,2,4,ACC3701%:D
ACC4751,Advanced Independent Study in Accounting,1,4,
ACC4752,Advanced Independent Study in Accounting (2 MCs),1,2,
ACC4761A,Seminars in Accounting: Internal Audit,"1,2",4,"{'and': ['ACC2706%:D', 'ACC3701%:D', 'ACC3706%:D']}"
ACC4761H,Sem. in Acctg: Accounting & Business Analysis for Banks,1,4,"{'and': ['FIN2704%:D', 'ACC2708%:D']}"
ACE5401,Approaches to Arts & Cultural Entrepreneurship,"1,2",4,
ACE5402,Final Year Project,2,4,
ACE5403,Internship,"3,4",8,
ACE5404,Heritage: Peoples and Institutions,1,4,
ACE5405,Cultural Industries and the Law,1,4,
ACE5406,Arts Business,"1,2",4,
ACE5407,"Museums, Exhibitions and the Curatorial",2,4,
ACE5408,Managing Cultural Events,2,4,
ACE5409,Applied Arts Research and Practice,2,4,
ACE5410,Cultural Diplomacy and Intelligence,2,4,
ACE5411,Cultural Analytics and Informatics,2,4,
ACE5413,Consulting as an Advanced Communication & Career Skill,2,4,
ACE5480,Topics in Arts and Cultural Entrepreneurship,2,4,
AH2101,Introduction to Art History,"1,2",4,
AH2202,Modern Art: A Critical Introduction,1,4,AH2101:D
AH2203,"Empire and Art: India, Singapore, Malaya",2,4,AH2101:D
AH2204,"Art in Southeast Asia, 4th-14th centuries CE",2,4,AH2101:D
AH3201,A History of Contemporary Art,1,4,AH2101:D
AH3204,Methods and Approaches to Art History,1,4,AH2101:D
AH3206,Islam and Modern and Contemporary Art in Southeast Asia,2,4,AH2101:D
AH3550,Art History Internship,"3,4",4,"{'and': ['AH2101:D', 'AH%:D']}"
ALS1010,Learning to Learn Better,"1,2",2,
AN1101E,Anthropology & Human Condition,"1,2",4,
AN2101,Research Methods in Anthropology,2,4,
AN2202,Culture and Society,1,4,
AN2203,Peoples and Cultures of Southeast Asia,2,4,
AN2204,Media Anthropology,1,4,
AN2205,Food and Foodways,2,4,
AN2206,Humans and Natures,2,4,
AN3101,Anthropology and Theory,1,4,
AN3203,Cultures of Kinship,1,4,
AN3208,Critiquing Development,2,4,
AN3209,Anthropology of Technology,2,4,
AR1101,Design I,1,4,
AR1102,Design 2,2,8,
AR1329,"Climate, Ecology & Architecture",2,4,
AR2101,Design 3,1,8,"{'nOf': [2, ['AR1101:C', 'AR1102:C']]}"
AR2102,Design 4,2,8,"{'nOf': [2, ['AR1101:C', 'AR1102:C']]}"
AR2225,Reading Visual Images,"1,2",4,
AR2227,History & Theory of Architecture I,2,4,
AR2228,History & Theory of Architecture II,1,4,
AR2328,Architectural Tectonics and Structural Systems,1,4,
AR2522,Computational Thinking: Performance Based Design,1,2,
AR2524,Spatial Computational Thinking,2,4,
AR3101,Design 5,1,8,
AR3102,Design 6,2,8,"{'nOf': [2, ['AR2101:C', 'AR2102:C']]}"
AR3102A,Design 6 (Landscape Architecture Emphasis),2,8,"{'nOf': [2, ['AR2101:C', 'AR2102:C']]}"
AR3151,Design - ISM,2,4,
AR3223,Introduction to Urbanism,1,4,
AR3412,Work Experience Internship,"1,2",4,
AR3721,Building Environmental System Modelling,"1,2",4,AR2723:D
AR3722,Sustainable Environmental System,2,4,
AR4002,Advanced Architectural Study 2,2,8,
